date_key,supplier_id,total_deliveries,otd_pct,otif_pct,defect_ppm,lead_time_variance_days,ppv_pct,responsiveness_score,overall_score,supplier_rating
202501,SUP-001,2,100.0,100.0,88,0.4,-2.48,95,100.7,A - Preferred
202501,SUP-002,2,100.0,100.0,78,0.4,-1.73,95,100.2,A - Preferred
202501,SUP-003,3,100.0,100.0,413,1.2,-0.02,85,95.8,A - Preferred
202501,SUP-004,2,100.0,100.0,433,1.2,0.26,85,95.5,A - Preferred
202501,SUP-005,3,100.0,33.3,1737,2.5,2.81,72,66.9,C - Conditional
202501,SUP-006,1,100.0,100.0,793,1.2,-0.24,85,94.8,A - Preferred
202501,SUP-007,1,100.0,0.0,1088,2.5,3.25,72,58.5,C - Conditional
202501,SUP-008,1,100.0,100.0,1083,2.5,2.85,72,88.9,A - Preferred
202501,SUP-009,1,100.0,100.0,4401,5.5,8.2,55,71.2,B - Approved
202501,SUP-010,2,100.0,100.0,1358,2.5,3.77,72,87.3,A - Preferred
202501,SUP-011,2,100.0,100.0,5857,5.5,7.93,55,67.1,C - Conditional
202502,SUP-001,4,100.0,100.0,120,0.4,-1.95,95,100.2,A - Preferred
202502,SUP-002,3,100.0,100.0,93,0.4,-2.22,95,100.5,A - Preferred
202502,SUP-003,3,100.0,100.0,554,1.2,0.07,85,95.3,A - Preferred
202502,SUP-004,3,66.7,66.7,401,1.2,-0.25,85,86.0,A - Preferred
202502,SUP-005,1,100.0,100.0,1950,2.5,3.23,72,86.0,A - Preferred
202502,SUP-006,3,100.0,100.0,614,1.2,-0.06,85,95.2,A - Preferred
202502,SUP-007,3,66.7,66.7,1348,2.5,3.32,72,77.7,B - Approved
202502,SUP-008,5,100.0,100.0,1600,2.5,3.32,72,86.9,A - Preferred
202502,SUP-009,2,100.0,100.0,6382,5.5,7.94,55,65.5,C - Conditional
202502,SUP-010,2,100.0,100.0,1438,2.5,2.96,72,87.7,A - Preferred
202502,SUP-011,1,0.0,0.0,5578,5.5,7.08,55,38.6,D - At Risk
202502,SUP-012,2,50.0,50.0,567,1.2,-0.54,85,80.7,B - Approved
202502,SUP-013,3,66.7,66.7,4322,5.5,7.92,55,61.7,C - Conditional
202502,SUP-014,4,75.0,25.0,438,1.2,0.61,85,72.7,B - Approved
202503,SUP-001,2,100.0,100.0,101,0.4,-2.3,95,100.5,A - Preferred
202503,SUP-003,1,100.0,100.0,181,1.2,0.27,85,96.2,A - Preferred
202503,SUP-004,3,100.0,100.0,479,1.2,-0.44,85,95.9,A - Preferred
202503,SUP-005,4,75.0,75.0,1548,2.5,3.55,72,79.4,B - Approved
202503,SUP-006,4,100.0,100.0,521,1.2,-0.0,85,95.4,A - Preferred
202503,SUP-007,4,75.0,50.0,1753,2.5,3.39,72,71.4,B - Approved
202503,SUP-008,2,100.0,100.0,1538,2.5,2.7,72,87.6,A - Preferred
202503,SUP-009,2,100.0,50.0,4035,5.5,7.98,55,57.5,C - Conditional
202503,SUP-010,6,83.3,83.3,1457,2.5,3.06,72,82.6,B - Approved
